id,title,release_date,recent_reviews,all_reviews,price,developers,number_languages,compatible_os,tags
793370,KIDS,"28 May, 2019","['73', '15', '30']","['85', '1,172']","['2,99']","['Mario von Rickenbach', 'Michael Frei']",13,3,"['Indie', 'Casual', 'Adventure', 'Short', 'Minimalist', 'Surreal', 'PsychologicalHorror']"
982220,Globesweeper,"12 Feb, 2019","['90', '213']","['90', '213']","['2,39']",['Incandescent Games'],1,3,"['Casual', 'Indie', 'Puzzle']"
380750,Anima: Gate of Memories,"2 Jun, 2016","['68', '475']",,,['Anima Project'],5,3,"['ActionRPG', 'RPG', 'Fantasy', 'Exploration', '3D', 'JRPG', 'OpenWorld', 'HackandSlash', 'CharacterCustomization', 'PvE', 'ChooseYourOwnAdventure', 'Adventure', 'Anime', 'Difficult', 'CharacterActionGame', 'ThirdPerson', 'Lore-Rich', 'ChoicesMatter', 'Controller', 'MultipleEndings']"
341390,Vulture for NetHack,"1 Feb, 2005","['72', '154']","['72', '154']","['2,49']",['DarkArts Studios'],1,2,"['TraditionalRoguelike', 'RPG', 'Roguelike', 'ProceduralGeneration', 'Isometric', 'Indie', 'Strategy', 'Difficult', 'PermaDeath', 'DungeonCrawler', 'Fantasy', 'Turn-Based', 'Classic']"
1098490,Explore Fushimi Inari,"11 Oct, 2019","['100', '11', '30']","['94', '1,306']",[],['Matt Newell'],1,1,"['WalkingSimulator', 'FreetoPlay', 'Simulation', 'Casual', 'Exploration', 'Atmospheric', 'Adventure', 'Indie', 'VR', 'Relaxing', 'Realistic', 'Beautiful']"
863460,Cyber Ops,"21 May, 2020","['50', '62']",,"['12,49']",['Octeto Studios'],6,2,"['Atmospheric', 'RealTimeTactics', 'Cyberpunk', 'Stealth', 'Hacking', 'Singleplayer', 'Indie', 'Tactical', 'Real-Time', 'Conspiracy', 'Dark', 'Noir', 'Retro', 'StoryRich', 'Adventure', 'RPG', 'StrategyRPG', 'CRPG', 'TacticalRPG', 'GodGame']"
582500,We Were Here,"3 Feb, 2017","['86', '314', '30']","['91', '17,713']",[],['Total Mayhem Games'],1,2,"['EscapeRoom', 'Puzzle', 'Co-op', 'Multiplayer', 'Horror', 'Co-opCampaign', 'Adventure', 'FreetoPlay', 'PsychologicalHorror', 'OnlineCo-Op', 'Mystery', 'Action-Adventure', 'Investigation', 'Atmospheric', 'MultipleEndings', 'First-Person', 'Indie', 'Casual', 'Dark', 'Action']"
622870,Within the blade,"17 Aug, 2019","['88', '268']","['88', '268']","['10,99']",['Ametist studio'],6,1,"['Action', 'Indie', 'PixelGraphics', 'Ninja', 'Platformer', 'EarlyAccess', '2D', 'Stealth', 'Difficult', 'Singleplayer', 'SideScroller', 'HackandSlash', 'Arcade', 'Retro', 'Atmospheric', 'Crafting', 'GameMaker', 'Dark', 'Gore', 'Fast-Paced']"
8880,Freedom Force,"26 Mar, 2002","['59', '365']",,"['3,99']",['Irrational Games'],1,1,"['RPG', 'Strategy', 'Superhero', 'Real-TimewithPause', 'Singleplayer', 'ComicBook', 'Classic', 'Multiplayer', 'Tactical']"
934410,ReThink 2,"2 Oct, 2018","['100', '25']","['100', '25']","['9,99']",['Yaeko'],1,1,"['Puzzle', 'First-Person', 'Logic', 'Indie', '3D', 'Beautiful', 'Relaxing', 'Sci-fi', 'Linear', 'Singleplayer', 'Action', 'Casual']"
